"Time","Package Joules Consumed"
2024-01-19 20:49:40,9.00
2024-01-19 20:49:42,8.29
2024-01-19 20:49:44,6.60
2024-01-19 20:49:46,6.41
2024-01-19 20:49:48,6.95
2024-01-19 20:49:50,7.63
2024-01-19 20:49:52,6.88
2024-01-19 20:49:54,7.18
2024-01-19 20:49:56,6.93
2024-01-19 20:49:58,6.95
2024-01-19 20:50:00,7.09
2024-01-19 20:50:02,7.11
2024-01-19 20:50:04,8.12
2024-01-19 20:50:06,7.40
2024-01-19 20:50:08,7.45
2024-01-19 20:50:10,7.97
2024-01-19 20:50:12,7.50
2024-01-19 20:50:14,8.20
2024-01-19 20:50:16,7.76
2024-01-19 20:50:18,7.15
2024-01-19 20:50:20,6.29
2024-01-19 20:50:22,7.46
2024-01-19 20:50:24,6.19
2024-01-19 20:50:26,6.72
2024-01-19 20:50:28,7.05
2024-01-19 20:50:30,6.99
2024-01-19 20:50:32,7.19
2024-01-19 20:50:34,7.20
2024-01-19 20:50:36,7.29
2024-01-19 20:50:38,7.53
2024-01-19 20:50:40,7.48
2024-01-19 20:50:42,7.51
2024-01-19 20:50:44,7.87
2024-01-19 20:50:46,7.72
2024-01-19 20:50:48,7.74
2024-01-19 20:50:50,7.65
2024-01-19 20:50:52,7.92
2024-01-19 20:50:54,7.03
2024-01-19 20:50:56,6.63
2024-01-19 20:50:58,7.68
2024-01-19 20:51:00,8.22
2024-01-19 20:51:02,8.32
2024-01-19 20:51:04,8.29
2024-01-19 20:51:06,8.51
2024-01-19 20:51:08,8.59
2024-01-19 20:51:10,8.51
2024-01-19 20:51:12,8.70
2024-01-19 20:51:14,8.62
2024-01-19 20:51:16,9.00
2024-01-19 20:51:18,9.61
2024-01-19 20:51:20,9.26
2024-01-19 20:51:22,9.84
2024-01-19 20:51:24,9.12
2024-01-19 20:51:26,9.03
2024-01-19 20:51:28,9.41
2024-01-19 20:51:30,7.93
2024-01-19 20:51:32,7.77
2024-01-19 20:51:34,7.95
2024-01-19 20:51:36,8.30
2024-01-19 20:51:38,8.56
2024-01-19 20:51:40,8.19
2024-01-19 20:51:42,8.07
2024-01-19 20:51:44,8.28
2024-01-19 20:51:46,8.19
2024-01-19 20:51:48,9.03
2024-01-19 20:51:50,8.61
2024-01-19 20:51:52,8.68
2024-01-19 20:51:54,9.02
2024-01-19 20:51:56,9.59
2024-01-19 20:51:58,8.92
2024-01-19 20:52:00,8.82
2024-01-19 20:52:02,8.87
2024-01-19 20:52:04,8.83
2024-01-19 20:52:06,6.45
2024-01-19 20:52:08,6.77
2024-01-19 20:52:10,6.51
2024-01-19 20:52:12,6.61
2024-01-19 20:52:14,6.97
2024-01-19 20:52:16,7.39
2024-01-19 20:52:18,7.48
2024-01-19 20:52:20,8.21
2024-01-19 20:52:22,7.12
2024-01-19 20:52:24,7.67
2024-01-19 20:52:26,7.49
2024-01-19 20:52:28,7.82
2024-01-19 20:52:30,7.79
2024-01-19 20:52:32,8.13
2024-01-19 20:52:34,7.80
2024-01-19 20:52:36,7.60
2024-01-19 20:52:38,7.83
2024-01-19 20:52:40,8.83
2024-01-19 20:52:42,6.38
2024-01-19 20:52:44,6.54
2024-01-19 20:52:46,6.94
2024-01-19 20:52:48,6.77
2024-01-19 20:52:50,6.78
2024-01-19 20:52:52,7.06
2024-01-19 20:52:54,6.94
2024-01-19 20:52:56,7.73
2024-01-19 20:52:58,7.59
2024-01-19 20:53:00,7.17
2024-01-19 20:53:02,7.60
2024-01-19 20:53:04,7.74
2024-01-19 20:53:06,7.61
2024-01-19 20:53:08,8.03
2024-01-19 20:53:10,7.84
2024-01-19 20:53:12,7.61
2024-01-19 20:53:14,7.75
2024-01-19 20:53:16,7.36
2024-01-19 20:53:18,6.79
2024-01-19 20:53:20,7.69
2024-01-19 20:53:22,8.36
2024-01-19 20:53:24,8.29
2024-01-19 20:53:26,8.56
2024-01-19 20:53:28,8.56
2024-01-19 20:53:30,8.64
2024-01-19 20:53:32,8.62
2024-01-19 20:53:34,8.80
2024-01-19 20:53:36,9.47
2024-01-19 20:53:38,8.90
2024-01-19 20:53:40,10.2
2024-01-19 20:53:42,9.38
2024-01-19 20:53:44,9.33
2024-01-19 20:53:46,9.37
2024-01-19 20:53:48,9.35
2024-01-19 20:53:50,10.3
2024-01-19 20:53:52,8.18
2024-01-19 20:53:54,8.11
2024-01-19 20:53:56,8.03
2024-01-19 20:53:58,8.26
2024-01-19 20:54:00,8.28
2024-01-19 20:54:02,8.65
2024-01-19 20:54:04,8.36
2024-01-19 20:54:06,8.42
2024-01-19 20:54:08,8.63
2024-01-19 20:54:10,8.50
2024-01-19 20:54:12,8.56
2024-01-19 20:54:14,8.96
2024-01-19 20:54:16,9.10
2024-01-19 20:54:18,9.00
2024-01-19 20:54:20,9.39
2024-01-19 20:54:22,8.94
2024-01-19 20:54:24,9.03
2024-01-19 20:54:26,9.71
2024-01-19 20:54:28,7.39
2024-01-19 20:54:30,6.32
2024-01-19 20:54:32,6.60
2024-01-19 20:54:34,6.51
2024-01-19 20:54:36,6.79
2024-01-19 20:54:38,6.87
2024-01-19 20:54:40,6.94
2024-01-19 20:54:42,7.19
2024-01-19 20:54:44,7.11
2024-01-19 20:54:46,7.09
2024-01-19 20:54:48,7.95
2024-01-19 20:54:50,7.66
2024-01-19 20:54:52,7.77
2024-01-19 20:54:54,7.88
2024-01-19 20:54:56,8.42
2024-01-19 20:54:58,7.78
2024-01-19 20:55:00,7.61
2024-01-19 20:55:02,8.33
2024-01-19 20:55:04,6.43
2024-01-19 20:55:06,6.56
2024-01-19 20:55:08,6.87
2024-01-19 20:55:10,6.75
2024-01-19 20:55:12,6.55
2024-01-19 20:55:14,6.54
2024-01-19 20:55:16,7.59
2024-01-19 20:55:18,6.93
2024-01-19 20:55:20,7.12
2024-01-19 20:55:22,6.95
2024-01-19 20:55:24,7.21
2024-01-19 20:55:26,7.64
2024-01-19 20:55:28,7.50
2024-01-19 20:55:30,7.64
2024-01-19 20:55:32,7.72
2024-01-19 20:55:34,7.69
2024-01-19 20:55:36,7.55
2024-01-19 20:55:38,7.47
2024-01-19 20:55:40,6.46
2024-01-19 20:55:42,7.52
2024-01-19 20:55:44,8.07
2024-01-19 20:55:46,8.46
2024-01-19 20:55:48,8.03
2024-01-19 20:55:50,8.16
2024-01-19 20:55:52,8.27
2024-01-19 20:55:54,8.46
2024-01-19 20:55:56,8.60
2024-01-19 20:55:58,9.24
2024-01-19 20:56:00,9.10
2024-01-19 20:56:02,9.54
2024-01-19 20:56:04,9.46
2024-01-19 20:56:06,10.6
2024-01-19 20:56:08,9.30
2024-01-19 20:56:10,10.3
2024-01-19 20:56:12,9.18
2024-01-19 20:56:14,7.97
2024-01-19 20:56:16,8.65
2024-01-19 20:56:18,8.73
2024-01-19 20:56:20,7.87
2024-01-19 20:56:22,7.90
2024-01-19 20:56:24,8.69
2024-01-19 20:56:26,8.16
2024-01-19 20:56:28,8.65
2024-01-19 20:56:30,8.61
2024-01-19 20:56:32,8.86
2024-01-19 20:56:34,8.98
2024-01-19 20:56:36,9.13
2024-01-19 20:56:38,9.16
2024-01-19 20:56:40,9.11
2024-01-19 20:56:42,9.44
2024-01-19 20:56:44,9.13
2024-01-19 20:56:46,9.03
2024-01-19 20:56:48,9.14
2024-01-19 20:56:50,6.97
2024-01-19 20:56:52,6.86
2024-01-19 20:56:54,6.59
2024-01-19 20:56:56,6.93
2024-01-19 20:56:58,6.71
2024-01-19 20:57:00,6.85
2024-01-19 20:57:02,7.02
2024-01-19 20:57:04,8.18
2024-01-19 20:57:06,7.36
2024-01-19 20:57:08,7.61
2024-01-19 20:57:10,7.98
2024-01-19 20:57:12,8.06
2024-01-19 20:57:14,7.99
2024-01-19 20:57:16,8.04
2024-01-19 20:57:18,7.84
2024-01-19 20:57:20,7.83
2024-01-19 20:57:22,7.72
2024-01-19 20:57:24,8.73
2024-01-19 20:57:26,6.50
2024-01-19 20:57:28,6.57
2024-01-19 20:57:30,6.51
2024-01-19 20:57:32,7.04
2024-01-19 20:57:34,6.85
2024-01-19 20:57:36,7.16
2024-01-19 20:57:38,7.04
2024-01-19 20:57:40,7.31
2024-01-19 20:57:42,6.97
2024-01-19 20:57:44,7.02
2024-01-19 20:57:46,7.97
2024-01-19 20:57:48,7.68
2024-01-19 20:57:50,7.76
2024-01-19 20:57:52,8.56
2024-01-19 20:57:54,7.55
2024-01-19 20:57:56,8.03
2024-01-19 20:57:58,7.77
2024-01-19 20:58:00,6.34
2024-01-19 20:58:02,6.64
2024-01-19 20:58:04,7.76
2024-01-19 20:58:06,7.97
2024-01-19 20:58:08,8.72
2024-01-19 20:58:10,8.04
2024-01-19 20:58:12,8.31
2024-01-19 20:58:14,8.92
2024-01-19 20:58:16,9.03
2024-01-19 20:58:18,8.71
2024-01-19 20:58:20,8.61
2024-01-19 20:58:22,8.89
2024-01-19 20:58:24,9.66
2024-01-19 20:58:26,9.11
2024-01-19 20:58:28,8.96
2024-01-19 20:58:30,9.01
2024-01-19 20:58:32,9.02
2024-01-19 20:58:34,8.72
2024-01-19 20:58:36,8.12
2024-01-19 20:58:38,7.48
2024-01-19 20:58:40,8.23
2024-01-19 20:58:42,7.95
2024-01-19 20:58:44,8.88
2024-01-19 20:58:46,8.14
2024-01-19 20:58:48,8.25
2024-01-19 20:58:50,8.32
2024-01-19 20:58:52,8.60
2024-01-19 20:58:54,8.51
2024-01-19 20:58:56,8.89
2024-01-19 20:58:58,9.33
2024-01-19 20:59:00,9.12
2024-01-19 20:59:02,9.09
2024-01-19 20:59:04,9.66
2024-01-19 20:59:06,9.18
2024-01-19 20:59:08,9.11
2024-01-19 20:59:10,6.82
2024-01-19 20:59:12,7.41
2024-01-19 20:59:14,6.45
2024-01-19 20:59:16,6.64
2024-01-19 20:59:18,6.61
2024-01-19 20:59:20,7.13
2024-01-19 20:59:22,7.25
2024-01-19 20:59:24,8.09
2024-01-19 20:59:26,7.53
2024-01-19 20:59:28,7.35
2024-01-19 20:59:30,7.39
2024-01-19 20:59:32,7.99
2024-01-19 20:59:34,8.28
2024-01-19 20:59:36,7.97
2024-01-19 20:59:38,22.9
2024-01-19 20:59:40,22.9
2024-01-19 20:59:42,22.8
2024-01-19 20:59:44,22.9
