"Time","Package Joules Consumed"
2024-01-20 22:18:12,9.49
2024-01-20 22:18:14,9.50
2024-01-20 22:18:16,8.06
2024-01-20 22:18:18,8.27
2024-01-20 22:18:20,8.55
2024-01-20 22:18:22,8.25
2024-01-20 22:18:24,8.35
2024-01-20 22:18:26,8.68
2024-01-20 22:18:28,8.30
2024-01-20 22:18:30,8.21
2024-01-20 22:18:32,8.38
2024-01-20 22:18:34,8.21
2024-01-20 22:18:36,8.75
2024-01-20 22:18:38,8.72
2024-01-20 22:18:40,9.32
2024-01-20 22:18:42,9.12
2024-01-20 22:18:44,9.10
2024-01-20 22:18:46,9.25
2024-01-20 22:18:48,9.26
2024-01-20 22:18:50,7.64
2024-01-20 22:18:52,7.59
2024-01-20 22:18:54,7.13
2024-01-20 22:18:56,6.80
2024-01-20 22:18:58,6.90
2024-01-20 22:19:00,6.91
2024-01-20 22:19:02,6.78
2024-01-20 22:19:04,6.70
2024-01-20 22:19:06,6.89
2024-01-20 22:19:08,7.21
2024-01-20 22:19:10,7.02
2024-01-20 22:19:12,7.42
2024-01-20 22:19:14,7.42
2024-01-20 22:19:16,7.37
2024-01-20 22:19:18,7.57
2024-01-20 22:19:20,7.78
2024-01-20 22:19:22,7.51
2024-01-20 22:19:24,7.79
2024-01-20 22:19:26,6.43
2024-01-20 22:19:28,6.47
2024-01-20 22:19:30,6.92
2024-01-20 22:19:32,6.74
2024-01-20 22:19:34,6.66
2024-01-20 22:19:36,6.94
2024-01-20 22:19:38,6.50
2024-01-20 22:19:40,6.65
2024-01-20 22:19:42,6.78
2024-01-20 22:19:44,6.94
2024-01-20 22:19:46,7.80
2024-01-20 22:19:48,7.24
2024-01-20 22:19:50,7.81
2024-01-20 22:19:52,7.56
2024-01-20 22:19:54,7.40
2024-01-20 22:19:56,7.58
2024-01-20 22:19:58,7.96
2024-01-20 22:20:00,6.70
2024-01-20 22:20:02,6.47
2024-01-20 22:20:04,8.05
2024-01-20 22:20:06,7.99
2024-01-20 22:20:08,7.98
2024-01-20 22:20:10,9.24
2024-01-20 22:20:12,8.35
2024-01-20 22:20:14,8.38
2024-01-20 22:20:16,8.42
2024-01-20 22:20:18,8.47
2024-01-20 22:20:20,8.90
2024-01-20 22:20:22,9.40
2024-01-20 22:20:24,8.91
2024-01-20 22:20:26,9.19
2024-01-20 22:20:28,9.23
2024-01-20 22:20:30,9.60
2024-01-20 22:20:32,9.58
2024-01-20 22:20:34,9.35
2024-01-20 22:20:36,8.07
2024-01-20 22:20:38,23.6
2024-01-20 22:20:40,23.6
2024-01-20 22:20:42,23.5
2024-01-20 22:20:44,23.6
2024-01-20 22:20:46,23.6
2024-01-20 22:20:48,23.5
2024-01-20 22:20:50,23.6
2024-01-20 22:20:52,23.7
2024-01-20 22:20:54,23.6
2024-01-20 22:20:56,20.0
2024-01-20 22:20:58,20.0
2024-01-20 22:21:00,20.1
2024-01-20 22:21:02,20.1
2024-01-20 22:21:04,20.0
2024-01-20 22:21:06,20.0
2024-01-20 22:21:08,20.1
2024-01-20 22:21:10,20.0
2024-01-20 22:21:12,20.0
2024-01-20 22:21:14,19.9
2024-01-20 22:21:16,19.9
2024-01-20 22:21:18,19.9
2024-01-20 22:21:20,19.9
2024-01-20 22:21:22,19.9
2024-01-20 22:21:24,19.9
2024-01-20 22:21:26,19.9
2024-01-20 22:21:28,19.9
2024-01-20 22:21:30,20.0
2024-01-20 22:21:32,20.1
2024-01-20 22:21:34,20.1
2024-01-20 22:21:36,20.1
2024-01-20 22:21:38,20.0
2024-01-20 22:21:40,19.9
2024-01-20 22:21:42,19.9
2024-01-20 22:21:44,15.8
2024-01-20 22:21:46,7.59
2024-01-20 22:21:48,19.9
2024-01-20 22:21:50,19.9
2024-01-20 22:21:52,19.9
2024-01-20 22:21:54,19.9
2024-01-20 22:21:56,20.0
2024-01-20 22:21:58,19.9
2024-01-20 22:22:00,20.0
2024-01-20 22:22:02,20.1
2024-01-20 22:22:04,20.0
2024-01-20 22:22:06,20.1
2024-01-20 22:22:08,20.1
2024-01-20 22:22:10,20.1
2024-01-20 22:22:12,20.2
2024-01-20 22:22:14,20.0
2024-01-20 22:22:16,20.0
2024-01-20 22:22:18,20.0
2024-01-20 22:22:20,20.0
2024-01-20 22:22:22,19.9
2024-01-20 22:22:24,20.0
2024-01-20 22:22:26,19.9
2024-01-20 22:22:28,20.0
2024-01-20 22:22:30,20.0
2024-01-20 22:22:32,19.9
2024-01-20 22:22:34,19.9
2024-01-20 22:22:36,20.0
2024-01-20 22:22:38,20.0
2024-01-20 22:22:40,20.0
2024-01-20 22:22:42,8.89
2024-01-20 22:22:44,8.94
2024-01-20 22:22:46,8.88
2024-01-20 22:22:48,8.96
2024-01-20 22:22:50,9.08
2024-01-20 22:22:52,9.02
2024-01-20 22:22:54,8.01
2024-01-20 22:22:56,8.01
2024-01-20 22:22:58,7.78
2024-01-20 22:23:00,8.05
2024-01-20 22:23:02,8.26
2024-01-20 22:23:04,8.34
2024-01-20 22:23:06,8.21
2024-01-20 22:23:08,
2024-01-20 22:23:10,
2024-01-20 22:23:12,
