"Time","Package Joules Consumed"
2024-01-21 17:45:10,
2024-01-21 17:45:12,6.79
2024-01-21 17:45:14,6.96
2024-01-21 17:45:16,8.14
2024-01-21 17:45:18,7.08
2024-01-21 17:45:20,7.21
2024-01-21 17:45:22,7.09
2024-01-21 17:45:24,7.10
2024-01-21 17:45:26,8.09
2024-01-21 17:45:28,7.64
2024-01-21 17:45:30,7.69
2024-01-21 17:45:32,8.13
2024-01-21 17:45:34,8.18
2024-01-21 17:45:36,7.95
2024-01-21 17:45:38,7.78
2024-01-21 17:45:40,6.85
2024-01-21 17:45:42,7.18
2024-01-21 17:45:44,6.64
2024-01-21 17:45:46,6.43
2024-01-21 17:45:48,7.02
2024-01-21 17:45:50,7.20
2024-01-21 17:45:52,6.82
2024-01-21 17:45:54,7.52
2024-01-21 17:45:56,7.16
2024-01-21 17:45:58,7.16
2024-01-21 17:46:00,7.36
2024-01-21 17:46:02,7.98
2024-01-21 17:46:04,8.10
2024-01-21 17:46:06,8.21
2024-01-21 17:46:08,8.27
2024-01-21 17:46:10,8.04
2024-01-21 17:46:12,7.85
2024-01-21 17:46:14,7.11
2024-01-21 17:46:16,7.05
2024-01-21 17:46:18,7.99
2024-01-21 17:46:20,8.26
2024-01-21 17:46:22,8.55
2024-01-21 17:46:24,8.47
2024-01-21 17:46:26,8.76
2024-01-21 17:46:28,8.77
2024-01-21 17:46:30,8.82
2024-01-21 17:46:32,8.87
2024-01-21 17:46:34,9.00
2024-01-21 17:46:36,9.33
2024-01-21 17:46:38,9.74
2024-01-21 17:46:40,9.77
2024-01-21 17:46:42,9.68
2024-01-21 17:46:44,9.96
2024-01-21 17:46:46,23.8
2024-01-21 17:46:48,23.9
2024-01-21 17:46:50,24.2
2024-01-21 17:46:52,23.8
2024-01-21 17:46:54,24.1
2024-01-21 17:46:56,23.8
2024-01-21 17:46:58,23.8
2024-01-21 17:47:00,24.0
2024-01-21 17:47:02,24.5
2024-01-21 17:47:04,24.4
2024-01-21 17:47:06,24.5
2024-01-21 17:47:08,24.5
2024-01-21 17:47:10,24.0
2024-01-21 17:47:12,24.0
2024-01-21 17:47:14,24.3
2024-01-21 17:47:16,24.0
2024-01-21 17:47:18,23.6
2024-01-21 17:47:20,23.8
2024-01-21 17:47:22,24.0
2024-01-21 17:47:24,24.3
2024-01-21 17:47:26,24.1
2024-01-21 17:47:28,23.8
2024-01-21 17:47:30,24.5
2024-01-21 17:47:32,24.5
2024-01-21 17:47:34,24.5
2024-01-21 17:47:36,24.5
2024-01-21 17:47:38,24.4
2024-01-21 17:47:40,24.2
2024-01-21 17:47:42,24.0
2024-01-21 17:47:44,24.4
2024-01-21 17:47:46,24.5
2024-01-21 17:47:48,23.8
2024-01-21 17:47:50,24.2
2024-01-21 17:47:52,24.4
2024-01-21 17:47:54,24.2
2024-01-21 17:47:56,24.4
2024-01-21 17:47:58,24.5
2024-01-21 17:48:00,24.6
2024-01-21 17:48:02,24.2
2024-01-21 17:48:04,24.5
2024-01-21 17:48:06,24.4
2024-01-21 17:48:08,24.1
2024-01-21 17:48:10,23.9
2024-01-21 17:48:12,24.6
2024-01-21 17:48:14,24.3
2024-01-21 17:48:16,24.4
2024-01-21 17:48:18,23.8
2024-01-21 17:48:20,24.4
2024-01-21 17:48:22,23.8
2024-01-21 17:48:24,23.9
2024-01-21 17:48:26,24.0
2024-01-21 17:48:28,24.6
2024-01-21 17:48:30,24.0
2024-01-21 17:48:32,24.1
2024-01-21 17:48:34,24.3
2024-01-21 17:48:36,24.2
2024-01-21 17:48:38,20.5
2024-01-21 17:48:40,20.2
2024-01-21 17:48:42,20.2
2024-01-21 17:48:44,20.2
2024-01-21 17:48:46,16.6
2024-01-21 17:48:48,8.74
2024-01-21 17:48:50,8.55
2024-01-21 17:48:52,8.81
2024-01-21 17:48:54,9.00
2024-01-21 17:48:56,9.21
2024-01-21 17:48:58,9.45
2024-01-21 17:49:00,9.13
2024-01-21 17:49:02,9.12
2024-01-21 17:49:04,9.39
2024-01-21 17:49:06,8.59
2024-01-21 17:49:08,8.22
2024-01-21 17:49:10,8.14
2024-01-21 17:49:12,7.93
2024-01-21 17:49:14,8.11
2024-01-21 17:49:16,7.89
2024-01-21 17:49:18,8.13
2024-01-21 17:49:20,8.05
2024-01-21 17:49:22,8.17
2024-01-21 17:49:24,8.22
2024-01-21 17:49:26,8.43
2024-01-21 17:49:28,8.64
2024-01-21 17:49:30,8.88
2024-01-21 17:49:32,9.15
2024-01-21 17:49:34,9.08
2024-01-21 17:49:36,9.08
2024-01-21 17:49:38,9.32
2024-01-21 17:49:40,8.76
2024-01-21 17:49:42,6.72
2024-01-21 17:49:44,6.74
2024-01-21 17:49:46,6.63
2024-01-21 17:49:48,7.10
2024-01-21 17:49:50,6.84
2024-01-21 17:49:52,6.69
2024-01-21 17:49:54,6.83
2024-01-21 17:49:56,6.97
2024-01-21 17:49:58,8.08
2024-01-21 17:50:00,6.93
2024-01-21 17:50:02,7.30
2024-01-21 17:50:04,7.79
2024-01-21 17:50:06,7.37
2024-01-21 17:50:08,7.52
2024-01-21 17:50:10,7.51
