"Time","Package Joules Consumed"
2024-01-21 17:35:44,
2024-01-21 17:35:46,8.92
2024-01-21 17:35:48,9.40
2024-01-21 17:35:50,9.09
2024-01-21 17:35:52,6.69
2024-01-21 17:35:54,7.13
2024-01-21 17:35:56,6.66
2024-01-21 17:35:58,6.91
2024-01-21 17:36:00,7.69
2024-01-21 17:36:02,6.41
2024-01-21 17:36:04,6.59
2024-01-21 17:36:06,6.67
2024-01-21 17:36:08,7.06
2024-01-21 17:36:10,7.05
2024-01-21 17:36:12,7.17
2024-01-21 17:36:14,8.62
2024-01-21 17:36:16,8.11
2024-01-21 17:36:18,7.97
2024-01-21 17:36:20,7.91
2024-01-21 17:36:22,8.02
2024-01-21 17:36:24,7.46
2024-01-21 17:36:26,7.30
2024-01-21 17:36:28,6.46
2024-01-21 17:36:30,7.33
2024-01-21 17:36:32,6.70
2024-01-21 17:36:34,6.57
2024-01-21 17:36:36,6.48
2024-01-21 17:36:38,6.94
2024-01-21 17:36:40,7.04
2024-01-21 17:36:42,6.70
2024-01-21 17:36:44,7.39
2024-01-21 17:36:46,7.17
2024-01-21 17:36:48,8.13
2024-01-21 17:36:50,7.76
2024-01-21 17:36:52,8.40
2024-01-21 17:36:54,7.64
2024-01-21 17:36:56,7.76
2024-01-21 17:36:58,8.04
2024-01-21 17:37:00,7.83
2024-01-21 17:37:02,6.77
2024-01-21 17:37:04,7.49
2024-01-21 17:37:06,8.29
2024-01-21 17:37:08,8.20
2024-01-21 17:37:10,7.92
2024-01-21 17:37:12,8.64
2024-01-21 17:37:14,8.24
2024-01-21 17:37:16,8.38
2024-01-21 17:37:18,8.50
2024-01-21 17:37:20,8.46
2024-01-21 17:37:22,8.87
2024-01-21 17:37:24,9.09
2024-01-21 17:37:26,9.33
2024-01-21 17:37:28,9.89
2024-01-21 17:37:30,9.19
2024-01-21 17:37:32,9.62
2024-01-21 17:37:34,9.69
2024-01-21 17:37:36,8.17
2024-01-21 17:37:38,8.08
2024-01-21 17:37:40,8.32
2024-01-21 17:37:42,8.12
2024-01-21 17:37:44,8.16
2024-01-21 17:37:46,8.48
2024-01-21 17:37:48,8.34
2024-01-21 17:37:50,8.85
2024-01-21 17:37:52,8.39
2024-01-21 17:37:54,8.58
2024-01-21 17:37:56,9.76
2024-01-21 17:37:58,9.52
2024-01-21 17:38:00,9.85
2024-01-21 17:38:02,9.91
2024-01-21 17:38:04,9.58
2024-01-21 17:38:06,9.53
2024-01-21 17:38:08,10.2
2024-01-21 17:38:10,8.12
2024-01-21 17:38:12,6.75
2024-01-21 17:38:14,6.92
2024-01-21 17:38:16,6.71
2024-01-21 17:38:18,23.9
2024-01-21 17:38:20,23.8
2024-01-21 17:38:22,23.8
2024-01-21 17:38:24,24.0
2024-01-21 17:38:26,23.9
2024-01-21 17:38:28,23.9
2024-01-21 17:38:30,24.2
2024-01-21 17:38:32,24.2
2024-01-21 17:38:34,24.3
2024-01-21 17:38:36,24.2
2024-01-21 17:38:38,24.2
2024-01-21 17:38:40,24.1
2024-01-21 17:38:42,24.0
2024-01-21 17:38:44,24.1
2024-01-21 17:38:46,24.3
2024-01-21 17:38:48,24.3
2024-01-21 17:38:50,24.1
2024-01-21 17:38:52,24.3
2024-01-21 17:38:54,20.8
2024-01-21 17:38:56,20.6
2024-01-21 17:38:58,20.6
2024-01-21 17:39:00,20.7
2024-01-21 17:39:02,20.7
2024-01-21 17:39:04,20.7
2024-01-21 17:39:06,20.6
2024-01-21 17:39:08,20.2
2024-01-21 17:39:10,20.4
2024-01-21 17:39:12,20.3
2024-01-21 17:39:14,20.2
2024-01-21 17:39:16,20.1
2024-01-21 17:39:18,20.1
2024-01-21 17:39:20,20.1
2024-01-21 17:39:22,20.0
2024-01-21 17:39:24,20.0
2024-01-21 17:39:26,20.1
2024-01-21 17:39:28,20.1
2024-01-21 17:39:30,20.1
2024-01-21 17:39:32,20.1
2024-01-21 17:39:34,20.1
2024-01-21 17:39:36,20.2
2024-01-21 17:39:38,20.2
2024-01-21 17:39:40,20.2
2024-01-21 17:39:42,20.2
2024-01-21 17:39:44,20.3
2024-01-21 17:39:46,20.3
2024-01-21 17:39:48,20.3
2024-01-21 17:39:50,20.2
2024-01-21 17:39:52,20.2
2024-01-21 17:39:54,20.1
2024-01-21 17:39:56,20.1
2024-01-21 17:39:58,20.3
2024-01-21 17:40:00,20.1
2024-01-21 17:40:02,20.1
2024-01-21 17:40:04,20.2
2024-01-21 17:40:06,20.1
2024-01-21 17:40:08,20.0
2024-01-21 17:40:10,20.1
2024-01-21 17:40:12,20.1
2024-01-21 17:40:14,20.1
2024-01-21 17:40:16,20.2
2024-01-21 17:40:18,8.85
2024-01-21 17:40:20,8.86
2024-01-21 17:40:22,9
2024-01-21 17:40:24,8.75
2024-01-21 17:40:26,9.22
2024-01-21 17:40:28,9.03
2024-01-21 17:40:30,6.64
2024-01-21 17:40:32,6.76
2024-01-21 17:40:34,6.57
2024-01-21 17:40:36,7.23
2024-01-21 17:40:38,6.83
2024-01-21 17:40:40,6.98
2024-01-21 17:40:42,
2024-01-21 17:40:44,
