"Time","Package Joules Consumed"
2024-01-21 17:27:46,
2024-01-21 17:27:48,7.36
2024-01-21 17:27:50,8.10
2024-01-21 17:27:52,7.82
2024-01-21 17:27:54,8.22
2024-01-21 17:27:56,8.88
2024-01-21 17:27:58,9.35
2024-01-21 17:28:00,8.37
2024-01-21 17:28:02,8.87
2024-01-21 17:28:04,8.48
2024-01-21 17:28:06,9.04
2024-01-21 17:28:08,9.29
2024-01-21 17:28:10,9.28
2024-01-21 17:28:12,9.44
2024-01-21 17:28:14,9.72
2024-01-21 17:28:16,9.09
2024-01-21 17:28:18,9.67
2024-01-21 17:28:20,7.75
2024-01-21 17:28:22,7.54
2024-01-21 17:28:24,8.75
2024-01-21 17:28:26,8.33
2024-01-21 17:28:28,7.83
2024-01-21 17:28:30,8.16
2024-01-21 17:28:32,7.87
2024-01-21 17:28:34,7.89
2024-01-21 17:28:36,8.62
2024-01-21 17:28:38,8.21
2024-01-21 17:28:40,8.54
2024-01-21 17:28:42,8.88
2024-01-21 17:28:44,8.93
2024-01-21 17:28:46,9.39
2024-01-21 17:28:48,9.06
2024-01-21 17:28:50,9.36
2024-01-21 17:28:52,9.39
2024-01-21 17:28:54,7.18
2024-01-21 17:28:56,6.97
2024-01-21 17:28:58,6.38
2024-01-21 17:29:00,6.15
2024-01-21 17:29:02,6.54
2024-01-21 17:29:04,6.73
2024-01-21 17:29:06,6.72
2024-01-21 17:29:08,6.90
2024-01-21 17:29:10,6.73
2024-01-21 17:29:12,6.90
2024-01-21 17:29:14,7.16
2024-01-21 17:29:16,7.32
2024-01-21 17:29:18,7.75
2024-01-21 17:29:20,7.94
2024-01-21 17:29:22,8.32
2024-01-21 17:29:24,7.73
2024-01-21 17:29:26,8.19
2024-01-21 17:29:28,7.71
2024-01-21 17:29:30,6.95
2024-01-21 17:29:32,6.72
2024-01-21 17:29:34,6.99
2024-01-21 17:29:36,7.39
2024-01-21 17:29:38,6.89
2024-01-21 17:29:40,6.89
2024-01-21 17:29:42,7.76
2024-01-21 17:29:44,6.89
2024-01-21 17:29:46,7.40
2024-01-21 17:29:48,7.53
2024-01-21 17:29:50,7.43
2024-01-21 17:29:52,7.45
2024-01-21 17:29:54,7.74
2024-01-21 17:29:56,8.16
2024-01-21 17:29:58,8.31
2024-01-21 17:30:00,7.91
2024-01-21 17:30:02,8.57
2024-01-21 17:30:04,6.78
2024-01-21 17:30:06,7.90
2024-01-21 17:30:08,8.18
2024-01-21 17:30:10,7.99
2024-01-21 17:30:12,8.28
2024-01-21 17:30:14,8.45
2024-01-21 17:30:16,8.68
2024-01-21 17:30:18,8.48
2024-01-21 17:30:20,8.67
2024-01-21 17:30:22,8.58
2024-01-21 17:30:24,8.75
2024-01-21 17:30:26,9.24
2024-01-21 17:30:28,9.25
2024-01-21 17:30:30,9.72
2024-01-21 17:30:32,23.9
2024-01-21 17:30:34,23.7
2024-01-21 17:30:36,24.1
2024-01-21 17:30:38,24.0
2024-01-21 17:30:40,24.1
2024-01-21 17:30:42,24.1
2024-01-21 17:30:44,24.1
2024-01-21 17:30:46,24.0
2024-01-21 17:30:48,23.9
2024-01-21 17:30:50,23.9
2024-01-21 17:30:52,24.0
2024-01-21 17:30:54,24.4
2024-01-21 17:30:56,24.3
2024-01-21 17:30:58,24.4
2024-01-21 17:31:00,24.2
2024-01-21 17:31:02,24.2
2024-01-21 17:31:04,24.4
2024-01-21 17:31:06,24.3
2024-01-21 17:31:08,24.0
2024-01-21 17:31:10,24.1
2024-01-21 17:31:12,24.2
2024-01-21 17:31:14,24.1
2024-01-21 17:31:16,24.1
2024-01-21 17:31:18,24.3
2024-01-21 17:31:20,24.3
2024-01-21 17:31:22,24.1
2024-01-21 17:31:24,24.0
2024-01-21 17:31:26,24.0
2024-01-21 17:31:28,24.1
2024-01-21 17:31:30,24.4
2024-01-21 17:31:32,24.3
2024-01-21 17:31:34,24.2
2024-01-21 17:31:36,24.3
2024-01-21 17:31:38,23.9
2024-01-21 17:31:40,24.3
2024-01-21 17:31:42,24.3
2024-01-21 17:31:44,24.3
2024-01-21 17:31:46,24.4
2024-01-21 17:31:48,24.1
2024-01-21 17:31:50,24.2
2024-01-21 17:31:52,24.3
2024-01-21 17:31:54,24.3
2024-01-21 17:31:56,24.3
2024-01-21 17:31:58,24.0
2024-01-21 17:32:00,23.9
2024-01-21 17:32:02,24.2
2024-01-21 17:32:04,24.2
2024-01-21 17:32:06,24.3
2024-01-21 17:32:08,24.3
2024-01-21 17:32:10,24.2
2024-01-21 17:32:12,24.2
2024-01-21 17:32:14,24.5
2024-01-21 17:32:16,24.4
2024-01-21 17:32:18,24.5
2024-01-21 17:32:20,24.1
2024-01-21 17:32:22,24.1
2024-01-21 17:32:24,25.4
2024-01-21 17:32:26,24.0
2024-01-21 17:32:28,24.1
2024-01-21 17:32:30,12.6
2024-01-21 17:32:32,8.40
2024-01-21 17:32:34,8.90
2024-01-21 17:32:36,8.43
2024-01-21 17:32:38,8.56
2024-01-21 17:32:40,8.37
2024-01-21 17:32:42,
2024-01-21 17:32:44,
2024-01-21 17:32:46,
