"Time","Package Joules Consumed"
2024-01-20 23:53:10,9.31
2024-01-20 23:53:12,9.52
2024-01-20 23:53:14,7.91
2024-01-20 23:53:16,8.11
2024-01-20 23:53:18,8.84
2024-01-20 23:53:20,7.97
2024-01-20 23:53:22,8.61
2024-01-20 23:53:24,8.35
2024-01-20 23:53:26,8.45
2024-01-20 23:53:28,8.26
2024-01-20 23:53:30,8.23
2024-01-20 23:53:32,8.60
2024-01-20 23:53:34,9.17
2024-01-20 23:53:36,8.98
2024-01-20 23:53:38,9.00
2024-01-20 23:53:40,9.44
2024-01-20 23:53:42,9.11
2024-01-20 23:53:44,10.0
2024-01-20 23:53:46,9.32
2024-01-20 23:53:48,8.37
2024-01-20 23:53:50,7.47
2024-01-20 23:53:52,7.04
2024-01-20 23:53:54,6.87
2024-01-20 23:53:56,7.09
2024-01-20 23:53:58,6.79
2024-01-20 23:54:00,7.46
2024-01-20 23:54:02,7.31
2024-01-20 23:54:04,7.53
2024-01-20 23:54:06,7.91
2024-01-20 23:54:08,7.85
2024-01-20 23:54:10,7.91
2024-01-20 23:54:12,8.26
2024-01-20 23:54:14,8.19
2024-01-20 23:54:16,8.15
2024-01-20 23:54:18,7.63
2024-01-20 23:54:20,7.73
2024-01-20 23:54:22,7.97
2024-01-20 23:54:24,6.67
2024-01-20 23:54:26,6.49
2024-01-20 23:54:28,6.77
2024-01-20 23:54:30,6.61
2024-01-20 23:54:32,6.80
2024-01-20 23:54:34,6.74
2024-01-20 23:54:36,7.18
2024-01-20 23:54:38,7.24
2024-01-20 23:54:40,7.10
2024-01-20 23:54:42,7.30
2024-01-20 23:54:44,7.52
2024-01-20 23:54:46,7.56
2024-01-20 23:54:48,8.08
2024-01-20 23:54:50,7.82
2024-01-20 23:54:52,8.02
2024-01-20 23:54:54,7.97
2024-01-20 23:54:56,7.81
2024-01-20 23:54:58,6.90
2024-01-20 23:55:00,6.43
2024-01-20 23:55:02,7.76
2024-01-20 23:55:04,8.18
2024-01-20 23:55:06,8.03
2024-01-20 23:55:08,8.37
2024-01-20 23:55:10,8.84
2024-01-20 23:55:12,8.46
2024-01-20 23:55:14,23.3
2024-01-20 23:55:16,23.2
2024-01-20 23:55:18,20.0
2024-01-20 23:55:20,20.1
2024-01-20 23:55:22,20.1
2024-01-20 23:55:24,20.1
2024-01-20 23:55:26,20.0
2024-01-20 23:55:28,20.0
2024-01-20 23:55:30,20.0
2024-01-20 23:55:32,20.0
2024-01-20 23:55:34,20.0
2024-01-20 23:55:36,20.0
2024-01-20 23:55:38,20.0
2024-01-20 23:55:40,20.1
2024-01-20 23:55:42,20.0
2024-01-20 23:55:44,19.9
2024-01-20 23:55:46,19.9
2024-01-20 23:55:48,20.0
2024-01-20 23:55:50,20.0
2024-01-20 23:55:52,20.0
2024-01-20 23:55:54,20.1
2024-01-20 23:55:56,20.3
2024-01-20 23:55:58,20.2
2024-01-20 23:56:00,20.2
2024-01-20 23:56:02,20.0
2024-01-20 23:56:04,20.1
2024-01-20 23:56:06,20.0
2024-01-20 23:56:08,20.0
2024-01-20 23:56:10,20.0
2024-01-20 23:56:12,20.2
2024-01-20 23:56:14,20.0
2024-01-20 23:56:16,20.0
2024-01-20 23:56:18,20.0
2024-01-20 23:56:20,20.0
2024-01-20 23:56:22,20.0
2024-01-20 23:56:24,20.1
2024-01-20 23:56:26,20.0
2024-01-20 23:56:28,20.0
2024-01-20 23:56:30,20.1
2024-01-20 23:56:32,20.2
2024-01-20 23:56:34,20.2
2024-01-20 23:56:36,20.1
2024-01-20 23:56:38,20.1
2024-01-20 23:56:40,20.1
2024-01-20 23:56:42,20.1
2024-01-20 23:56:44,20.1
2024-01-20 23:56:46,20.1
2024-01-20 23:56:48,20.0
2024-01-20 23:56:50,19.9
2024-01-20 23:56:52,20.0
2024-01-20 23:56:54,20.1
2024-01-20 23:56:56,20.1
2024-01-20 23:56:58,20.1
2024-01-20 23:57:00,20.1
2024-01-20 23:57:02,20.2
2024-01-20 23:57:04,20.1
2024-01-20 23:57:06,20.4
2024-01-20 23:57:08,20.3
2024-01-20 23:57:10,20.2
2024-01-20 23:57:12,20.2
2024-01-20 23:57:14,16.5
2024-01-20 23:57:16,7.78
2024-01-20 23:57:18,6.39
2024-01-20 23:57:20,6.85
2024-01-20 23:57:22,7.94
2024-01-20 23:57:24,8.03
2024-01-20 23:57:26,8.10
2024-01-20 23:57:28,8.37
2024-01-20 23:57:30,8.47
2024-01-20 23:57:32,8.63
2024-01-20 23:57:34,8.32
2024-01-20 23:57:36,8.77
2024-01-20 23:57:38,8.93
2024-01-20 23:57:40,8.79
2024-01-20 23:57:42,9.13
2024-01-20 23:57:44,9.14
2024-01-20 23:57:46,10.0
2024-01-20 23:57:48,8.94
2024-01-20 23:57:50,9.18
2024-01-20 23:57:52,7.88
2024-01-20 23:57:54,8.12
2024-01-20 23:57:56,7.90
2024-01-20 23:57:58,8.39
2024-01-20 23:58:00,8.01
2024-01-20 23:58:02,8.00
2024-01-20 23:58:04,8.31
2024-01-20 23:58:06,8.17
2024-01-20 23:58:08,
2024-01-20 23:58:10,
