"Time","Package Joules Consumed"
2024-01-21 00:01:02,
2024-01-21 00:01:04,7.42
2024-01-21 00:01:06,7.38
2024-01-21 00:01:08,7.50
2024-01-21 00:01:10,8.79
2024-01-21 00:01:12,7.95
2024-01-21 00:01:14,10.0
2024-01-21 00:01:16,7.86
2024-01-21 00:01:18,7.38
2024-01-21 00:01:20,7.91
2024-01-21 00:01:22,6.32
2024-01-21 00:01:24,6.36
2024-01-21 00:01:26,6.44
2024-01-21 00:01:28,7.02
2024-01-21 00:01:30,6.72
2024-01-21 00:01:32,6.94
2024-01-21 00:01:34,6.95
2024-01-21 00:01:36,7.49
2024-01-21 00:01:38,8.04
2024-01-21 00:01:40,7.63
2024-01-21 00:01:42,7.47
2024-01-21 00:01:44,7.55
2024-01-21 00:01:46,7.55
2024-01-21 00:01:48,8.10
2024-01-21 00:01:50,7.66
2024-01-21 00:01:52,7.65
2024-01-21 00:01:54,7.87
2024-01-21 00:01:56,7.29
2024-01-21 00:01:58,7.85
2024-01-21 00:02:00,8.36
2024-01-21 00:02:02,7.92
2024-01-21 00:02:04,8.31
2024-01-21 00:02:06,8.47
2024-01-21 00:02:08,8.40
2024-01-21 00:02:10,9.22
2024-01-21 00:02:12,9.22
2024-01-21 00:02:14,8.86
2024-01-21 00:02:16,10.1
2024-01-21 00:02:18,9.14
2024-01-21 00:02:20,9.52
2024-01-21 00:02:22,9.55
2024-01-21 00:02:24,10.3
2024-01-21 00:02:26,9.36
2024-01-21 00:02:28,9.80
2024-01-21 00:02:30,8.17
2024-01-21 00:02:32,7.86
2024-01-21 00:02:34,7.86
2024-01-21 00:02:36,7.96
2024-01-21 00:02:38,8.10
2024-01-21 00:02:40,23.3
2024-01-21 00:02:42,23.6
2024-01-21 00:02:44,24.0
2024-01-21 00:02:46,23.7
2024-01-21 00:02:48,23.8
2024-01-21 00:02:50,24.1
2024-01-21 00:02:52,24.2
2024-01-21 00:02:54,23.3
2024-01-21 00:02:56,23.9
2024-01-21 00:02:58,24.1
2024-01-21 00:03:00,23.8
2024-01-21 00:03:02,23.5
2024-01-21 00:03:04,23.5
2024-01-21 00:03:06,24.0
2024-01-21 00:03:08,24.0
2024-01-21 00:03:10,23.3
2024-01-21 00:03:12,23.8
2024-01-21 00:03:14,23.9
2024-01-21 00:03:16,23.9
2024-01-21 00:03:18,23.3
2024-01-21 00:03:20,23.4
2024-01-21 00:03:22,23.4
2024-01-21 00:03:24,23.3
2024-01-21 00:03:26,23.2
2024-01-21 00:03:28,24.1
2024-01-21 00:03:30,24.0
2024-01-21 00:03:32,24.1
2024-01-21 00:03:34,24.1
2024-01-21 00:03:36,23.5
2024-01-21 00:03:38,24.1
2024-01-21 00:03:40,24.0
2024-01-21 00:03:42,23.3
2024-01-21 00:03:44,23.4
2024-01-21 00:03:46,24.0
2024-01-21 00:03:48,24.1
2024-01-21 00:03:50,24.1
2024-01-21 00:03:52,23.6
2024-01-21 00:03:54,23.7
2024-01-21 00:03:56,23.9
2024-01-21 00:03:58,23.9
2024-01-21 00:04:00,23.5
2024-01-21 00:04:02,24.0
2024-01-21 00:04:04,24.3
2024-01-21 00:04:06,24.1
2024-01-21 00:04:08,23.4
2024-01-21 00:04:10,24.0
2024-01-21 00:04:12,24.1
2024-01-21 00:04:14,23.6
2024-01-21 00:04:16,23.5
2024-01-21 00:04:18,23.3
2024-01-21 00:04:20,23.5
2024-01-21 00:04:22,23.5
2024-01-21 00:04:24,23.7
2024-01-21 00:04:26,24.4
2024-01-21 00:04:28,24.1
2024-01-21 00:04:30,23.6
2024-01-21 00:04:32,23.6
2024-01-21 00:04:34,23.5
2024-01-21 00:04:36,24.0
2024-01-21 00:04:38,24.0
2024-01-21 00:04:40,18.4
2024-01-21 00:04:42,9.90
2024-01-21 00:04:44,9.14
2024-01-21 00:04:46,10.1
2024-01-21 00:04:48,9.15
2024-01-21 00:04:50,7.92
2024-01-21 00:04:52,7.99
2024-01-21 00:04:54,7.77
2024-01-21 00:04:56,7.99
2024-01-21 00:04:58,8.83
2024-01-21 00:05:00,8.37
2024-01-21 00:05:02,8.19
2024-01-21 00:05:04,8.29
2024-01-21 00:05:06,8.27
2024-01-21 00:05:08,8.58
2024-01-21 00:05:10,8.76
2024-01-21 00:05:12,9.09
2024-01-21 00:05:14,9.13
2024-01-21 00:05:16,9.11
2024-01-21 00:05:18,8.89
2024-01-21 00:05:20,9.14
2024-01-21 00:05:22,8.95
2024-01-21 00:05:24,7.16
2024-01-21 00:05:26,6.37
2024-01-21 00:05:28,6.26
2024-01-21 00:05:30,7.29
2024-01-21 00:05:32,6.55
2024-01-21 00:05:34,6.71
2024-01-21 00:05:36,6.81
2024-01-21 00:05:38,7.13
2024-01-21 00:05:40,7.25
2024-01-21 00:05:42,7.32
2024-01-21 00:05:44,8.24
2024-01-21 00:05:46,7.42
2024-01-21 00:05:48,7.81
2024-01-21 00:05:50,8.48
2024-01-21 00:05:52,7.45
2024-01-21 00:05:54,7.35
2024-01-21 00:05:56,7.61
2024-01-21 00:05:58,
2024-01-21 00:06:00,
2024-01-21 00:06:02,
