"Time","Package Joules Consumed"
2024-01-20 23:45:54,
2024-01-20 23:45:56,8.78
2024-01-20 23:45:58,8.81
2024-01-20 23:46:00,8.75
2024-01-20 23:46:02,9.11
2024-01-20 23:46:04,9.37
2024-01-20 23:46:06,9.24
2024-01-20 23:46:08,9.52
2024-01-20 23:46:10,9.38
2024-01-20 23:46:12,9.32
2024-01-20 23:46:14,9.36
2024-01-20 23:46:16,8.86
2024-01-20 23:46:18,8.01
2024-01-20 23:46:20,7.84
2024-01-20 23:46:22,8.80
2024-01-20 23:46:24,8.82
2024-01-20 23:46:26,8.76
2024-01-20 23:46:28,8.87
2024-01-20 23:46:30,8.41
2024-01-20 23:46:32,8.51
2024-01-20 23:46:34,8.63
2024-01-20 23:46:36,8.78
2024-01-20 23:46:38,9.00
2024-01-20 23:46:40,9.41
2024-01-20 23:46:42,14.1
2024-01-20 23:46:44,24.4
2024-01-20 23:46:46,24.4
2024-01-20 23:46:48,24.0
2024-01-20 23:46:50,23.9
2024-01-20 23:46:52,24.5
2024-01-20 23:46:54,24.0
2024-01-20 23:46:56,24.2
2024-01-20 23:46:58,24.1
2024-01-20 23:47:00,24.5
2024-01-20 23:47:02,24.4
2024-01-20 23:47:04,24.0
2024-01-20 23:47:06,24.6
2024-01-20 23:47:08,24.6
2024-01-20 23:47:10,24.4
2024-01-20 23:47:12,24.3
2024-01-20 23:47:14,20.7
2024-01-20 23:47:16,20.2
2024-01-20 23:47:18,20.1
2024-01-20 23:47:20,20.0
2024-01-20 23:47:22,20.1
2024-01-20 23:47:24,20.1
2024-01-20 23:47:26,20.1
2024-01-20 23:47:28,20.1
2024-01-20 23:47:30,20.2
2024-01-20 23:47:32,20.0
2024-01-20 23:47:34,20.1
2024-01-20 23:47:36,20.1
2024-01-20 23:47:38,20.0
2024-01-20 23:47:40,20.1
2024-01-20 23:47:42,20.1
2024-01-20 23:47:44,20.1
2024-01-20 23:47:46,20.1
2024-01-20 23:47:48,20.1
2024-01-20 23:47:50,20.2
2024-01-20 23:47:52,20.2
2024-01-20 23:47:54,20.2
2024-01-20 23:47:56,20.2
2024-01-20 23:47:58,20.1
2024-01-20 23:48:00,20.1
2024-01-20 23:48:02,20.1
2024-01-20 23:48:04,20.2
2024-01-20 23:48:06,20.2
2024-01-20 23:48:08,20.1
2024-01-20 23:48:10,20.1
2024-01-20 23:48:12,20.1
2024-01-20 23:48:14,20.1
2024-01-20 23:48:16,20.1
2024-01-20 23:48:18,20.2
2024-01-20 23:48:20,20.1
2024-01-20 23:48:22,20.1
2024-01-20 23:48:24,20.2
2024-01-20 23:48:26,20.2
2024-01-20 23:48:28,20.2
2024-01-20 23:48:30,20.2
2024-01-20 23:48:32,20.1
2024-01-20 23:48:34,20.1
2024-01-20 23:48:36,20.7
2024-01-20 23:48:38,20.4
2024-01-20 23:48:40,20.2
2024-01-20 23:48:42,20.6
2024-01-20 23:48:44,20.1
2024-01-20 23:48:46,20.1
2024-01-20 23:48:48,20.1
2024-01-20 23:48:50,8.10
2024-01-20 23:48:52,8.52
2024-01-20 23:48:54,8.36
2024-01-20 23:48:56,8.81
2024-01-20 23:48:58,8.77
2024-01-20 23:49:00,8.89
2024-01-20 23:49:02,9.29
2024-01-20 23:49:04,8.91
2024-01-20 23:49:06,8.87
2024-01-20 23:49:08,9.13
2024-01-20 23:49:10,7.77
2024-01-20 23:49:12,6.60
2024-01-20 23:49:14,6.57
2024-01-20 23:49:16,6.74
2024-01-20 23:49:18,6.77
2024-01-20 23:49:20,6.91
2024-01-20 23:49:22,6.97
2024-01-20 23:49:24,7.34
2024-01-20 23:49:26,6.86
2024-01-20 23:49:28,7.34
2024-01-20 23:49:30,7.65
2024-01-20 23:49:32,7.48
2024-01-20 23:49:34,7.62
2024-01-20 23:49:36,7.96
2024-01-20 23:49:38,7.48
2024-01-20 23:49:40,7.64
2024-01-20 23:49:42,7.77
2024-01-20 23:49:44,7.72
2024-01-20 23:49:46,6.33
2024-01-20 23:49:48,6.52
2024-01-20 23:49:50,6.43
2024-01-20 23:49:52,6.76
2024-01-20 23:49:54,6.47
2024-01-20 23:49:56,6.86
2024-01-20 23:49:58,6.88
2024-01-20 23:50:00,6.86
2024-01-20 23:50:02,6.97
2024-01-20 23:50:04,7.15
2024-01-20 23:50:06,7.55
2024-01-20 23:50:08,7.96
2024-01-20 23:50:10,8.15
2024-01-20 23:50:12,8.45
2024-01-20 23:50:14,8.44
2024-01-20 23:50:16,8.10
2024-01-20 23:50:18,8.13
2024-01-20 23:50:20,6.88
2024-01-20 23:50:22,6.74
2024-01-20 23:50:24,7.90
2024-01-20 23:50:26,8.36
2024-01-20 23:50:28,8.36
2024-01-20 23:50:30,8.21
2024-01-20 23:50:32,8.56
2024-01-20 23:50:34,8.50
2024-01-20 23:50:36,8.46
2024-01-20 23:50:38,8.98
2024-01-20 23:50:40,9.28
2024-01-20 23:50:42,9.42
2024-01-20 23:50:44,9.71
2024-01-20 23:50:46,9.57
2024-01-20 23:50:48,
2024-01-20 23:50:50,
2024-01-20 23:50:52,
2024-01-20 23:50:54,
