"Time","Package Joules Consumed"
2024-01-18 21:15:06,
2024-01-18 21:15:08,9.17
2024-01-18 21:15:10,9.01
2024-01-18 21:15:12,9.08
2024-01-18 21:15:14,9.05
2024-01-18 21:15:16,9.39
2024-01-18 21:15:18,8.96
2024-01-18 21:15:20,9.94
2024-01-18 21:15:22,7.52
2024-01-18 21:15:24,6.48
2024-01-18 21:15:26,6.68
2024-01-18 21:15:28,7.22
2024-01-18 21:15:30,6.47
2024-01-18 21:15:32,7.92
2024-01-18 21:15:34,6.78
2024-01-18 21:15:36,6.88
2024-01-18 21:15:38,7.17
2024-01-18 21:15:40,7.28
2024-01-18 21:15:42,7.71
2024-01-18 21:15:44,7.87
2024-01-18 21:15:46,8.26
2024-01-18 21:15:48,8.65
2024-01-18 21:15:50,8.10
2024-01-18 21:15:52,8.69
2024-01-18 21:15:54,8.44
2024-01-18 21:15:56,8.24
2024-01-18 21:15:58,6.24
2024-01-18 21:16:00,6.48
2024-01-18 21:16:02,7.69
2024-01-18 21:16:04,6.77
2024-01-18 21:16:06,7.37
2024-01-18 21:16:08,6.64
2024-01-18 21:16:10,6.98
2024-01-18 21:16:12,7.75
2024-01-18 21:16:14,7.26
2024-01-18 21:16:16,7.94
2024-01-18 21:16:18,8.62
2024-01-18 21:16:20,8.76
2024-01-18 21:16:22,8.28
2024-01-18 21:16:24,8.47
2024-01-18 21:16:26,8.82
2024-01-18 21:16:28,8.16
2024-01-18 21:16:30,8.01
2024-01-18 21:16:32,6.72
2024-01-18 21:16:34,6.88
2024-01-18 21:16:36,8.05
2024-01-18 21:16:38,8.76
2024-01-18 21:16:40,8.21
2024-01-18 21:16:42,8.08
2024-01-18 21:16:44,8.67
2024-01-18 21:16:46,8.32
2024-01-18 21:16:48,8.22
2024-01-18 21:16:50,8.88
2024-01-18 21:16:52,9.04
2024-01-18 21:16:54,9.57
2024-01-18 21:16:56,9.30
2024-01-18 21:16:58,9.26
2024-01-18 21:17:00,9.33
2024-01-18 21:17:02,9.13
2024-01-18 21:17:04,10.4
2024-01-18 21:17:06,9.56
2024-01-18 21:17:08,8.75
2024-01-18 21:17:10,7.62
2024-01-18 21:17:12,8.04
2024-01-18 21:17:14,7.83
2024-01-18 21:17:16,7.90
2024-01-18 21:17:18,7.84
2024-01-18 21:17:20,8.41
2024-01-18 21:17:22,9.62
2024-01-18 21:17:24,8.54
2024-01-18 21:17:26,9.02
2024-01-18 21:17:28,9.26
2024-01-18 21:17:30,9.40
2024-01-18 21:17:32,9.54
2024-01-18 21:17:34,9.94
2024-01-18 21:17:36,9.78
2024-01-18 21:17:38,10.0
2024-01-18 21:17:40,9.69
2024-01-18 21:17:42,7.07
2024-01-18 21:17:44,7.03
2024-01-18 21:17:46,7.31
2024-01-18 21:17:48,23.3
2024-01-18 21:17:50,6.82
2024-01-18 21:17:52,6.85
2024-01-18 21:17:54,7.34
2024-01-18 21:17:56,7.94
2024-01-18 21:17:58,7.55
2024-01-18 21:18:00,7.40
2024-01-18 21:18:02,8.08
2024-01-18 21:18:04,8.62
2024-01-18 21:18:06,8.72
2024-01-18 21:18:08,8.46
2024-01-18 21:18:10,8.98
2024-01-18 21:18:12,9.03
2024-01-18 21:18:14,8.80
2024-01-18 21:18:16,7.83
2024-01-18 21:18:18,7.14
2024-01-18 21:18:20,6.81
2024-01-18 21:18:22,25.0
2024-01-18 21:18:24,19.9
2024-01-18 21:18:26,28.2
2024-01-18 21:18:28,20.0
2024-01-18 21:18:30,24.8
2024-01-18 21:18:32,25.4
2024-01-18 21:18:34,17.2
2024-01-18 21:18:36,27.5
2024-01-18 21:18:38,20.4
2024-01-18 21:18:40,25.4
2024-01-18 21:18:42,23.4
2024-01-18 21:18:44,21.8
2024-01-18 21:18:46,28.3
2024-01-18 21:18:48,21.5
2024-01-18 21:18:50,24.2
2024-01-18 21:18:52,29.6
2024-01-18 21:18:54,15.4
2024-01-18 21:18:56,21.8
2024-01-18 21:18:58,22.4
2024-01-18 21:19:00,25.3
2024-01-18 21:19:02,26.9
2024-01-18 21:19:04,21.2
2024-01-18 21:19:06,27.2
2024-01-18 21:19:08,9.63
2024-01-18 21:19:10,9.61
2024-01-18 21:19:12,10.1
2024-01-18 21:19:14,9.90
2024-01-18 21:19:16,9.98
2024-01-18 21:19:18,10.1
2024-01-18 21:19:20,10.4
2024-01-18 21:19:22,10.1
2024-01-18 21:19:24,10.0
2024-01-18 21:19:26,9.84
2024-01-18 21:19:28,8.01
2024-01-18 21:19:30,8.51
2024-01-18 21:19:32,8.58
2024-01-18 21:19:34,9.12
2024-01-18 21:19:36,8.76
2024-01-18 21:19:38,8.43
2024-01-18 21:19:40,8.12
2024-01-18 21:19:42,8.77
2024-01-18 21:19:44,8.89
2024-01-18 21:19:46,9.13
2024-01-18 21:19:48,8.90
2024-01-18 21:19:50,9.14
2024-01-18 21:19:52,9.47
2024-01-18 21:19:54,10.7
2024-01-18 21:19:56,9.82
2024-01-18 21:19:58,9.56
2024-01-18 21:20:00,9.68
2024-01-18 21:20:02,7.30
2024-01-18 21:20:04,
2024-01-18 21:20:06,
