"Time","Package Joules Consumed"
2023-12-12 18:23:41,
2023-12-12 18:23:42,
2023-12-12 18:23:43,8.30
2023-12-12 18:23:44,
2023-12-12 18:23:45,8.44
2023-12-12 18:23:46,
2023-12-12 18:23:47,8.62
2023-12-12 18:23:48,
2023-12-12 18:23:49,8.40
2023-12-12 18:23:50,
2023-12-12 18:23:51,
2023-12-12 18:23:52,8.80
2023-12-12 18:23:53,9.22
2023-12-12 18:23:54,
2023-12-12 18:23:55,8.88
2023-12-12 18:23:56,
2023-12-12 18:23:57,9.10
2023-12-12 18:23:58,
2023-12-12 18:23:59,9.14
2023-12-12 18:24:00,
2023-12-12 18:24:01,9.60
2023-12-12 18:24:02,
2023-12-12 18:24:03,9.82
2023-12-12 18:24:04,
2023-12-12 18:24:05,9.77
2023-12-12 18:24:06,
2023-12-12 18:24:07,9.60
2023-12-12 18:24:08,
2023-12-12 18:24:09,9.68
2023-12-12 18:24:10,
2023-12-12 18:24:11,9.16
2023-12-12 18:24:12,
2023-12-12 18:24:13,9.48
2023-12-12 18:24:14,
2023-12-12 18:24:15,8.65
2023-12-12 18:24:16,
2023-12-12 18:24:17,8.63
2023-12-12 18:24:18,
2023-12-12 18:24:19,8.75
2023-12-12 18:24:20,
2023-12-12 18:24:21,8.74
2023-12-12 18:24:22,
2023-12-12 18:24:23,8.57
2023-12-12 18:24:24,
2023-12-12 18:24:25,8.79
2023-12-12 18:24:26,
2023-12-12 18:24:27,9.08
2023-12-12 18:24:28,
2023-12-12 18:24:29,9.25
2023-12-12 18:24:30,
2023-12-12 18:24:31,10.4
2023-12-12 18:24:32,
2023-12-12 18:24:33,9.31
2023-12-12 18:24:34,
2023-12-12 18:24:35,9.67
2023-12-12 18:24:36,
2023-12-12 18:24:37,9.67
2023-12-12 18:24:38,
2023-12-12 18:24:39,
2023-12-12 18:24:40,12.7
2023-12-12 18:24:41,13.1
2023-12-12 18:24:42,
2023-12-12 18:24:43,14.7
2023-12-12 18:24:44,
2023-12-12 18:24:45,9.12
2023-12-12 18:24:46,
2023-12-12 18:24:47,8.66
2023-12-12 18:24:48,
2023-12-12 18:24:49,6.84
2023-12-12 18:24:50,
2023-12-12 18:24:51,7.43
2023-12-12 18:24:52,
2023-12-12 18:24:53,7.60
2023-12-12 18:24:54,
2023-12-12 18:24:55,7.91
2023-12-12 18:24:56,
2023-12-12 18:24:57,7.96
2023-12-12 18:24:58,
2023-12-12 18:24:59,8.34
2023-12-12 18:25:00,
2023-12-12 18:25:01,8.17
2023-12-12 18:25:02,
2023-12-12 18:25:03,8.21
2023-12-12 18:25:04,
2023-12-12 18:25:05,8.34
2023-12-12 18:25:06,
2023-12-12 18:25:07,8.10
2023-12-12 18:25:08,
2023-12-12 18:25:09,8.67
2023-12-12 18:25:10,
2023-12-12 18:25:11,12.0
2023-12-12 18:25:12,
2023-12-12 18:25:13,9.96
2023-12-12 18:25:14,
2023-12-12 18:25:15,8.61
2023-12-12 18:25:16,
2023-12-12 18:25:17,14.6
2023-12-12 18:25:18,
2023-12-12 18:25:19,18.8
2023-12-12 18:25:20,
2023-12-12 18:25:21,8.04
2023-12-12 18:25:22,
2023-12-12 18:25:23,6.84
2023-12-12 18:25:24,
2023-12-12 18:25:25,6.72
2023-12-12 18:25:26,
2023-12-12 18:25:27,7.09
2023-12-12 18:25:28,
2023-12-12 18:25:29,7.56
2023-12-12 18:25:30,
2023-12-12 18:25:31,11.2
2023-12-12 18:25:32,
2023-12-12 18:25:33,12.7
2023-12-12 18:25:34,
2023-12-12 18:25:35,16.8
2023-12-12 18:25:36,
2023-12-12 18:25:37,11.1
2023-12-12 18:25:38,
2023-12-12 18:25:39,17.6
2023-12-12 18:25:40,
2023-12-12 18:25:41,17.2
2023-12-12 18:25:42,
2023-12-12 18:25:43,19.8
2023-12-12 18:25:44,
2023-12-12 18:25:45,8.76
2023-12-12 18:25:46,
2023-12-12 18:25:47,15.9
2023-12-12 18:25:48,
2023-12-12 18:25:49,12.9
2023-12-12 18:25:50,
2023-12-12 18:25:51,18.4
2023-12-12 18:25:52,
2023-12-12 18:25:53,13.0
2023-12-12 18:25:54,
2023-12-12 18:25:55,15.7
2023-12-12 18:25:56,
2023-12-12 18:25:57,11.3
2023-12-12 18:25:58,
2023-12-12 18:25:59,12.5
2023-12-12 18:26:00,
2023-12-12 18:26:01,11.3
2023-12-12 18:26:02,
2023-12-12 18:26:03,14.2
2023-12-12 18:26:04,
2023-12-12 18:26:05,11.1
2023-12-12 18:26:06,
2023-12-12 18:26:07,12.5
2023-12-12 18:26:08,
2023-12-12 18:26:09,11.5
2023-12-12 18:26:10,
2023-12-12 18:26:11,12.5
2023-12-12 18:26:12,
2023-12-12 18:26:13,12.8
2023-12-12 18:26:14,
2023-12-12 18:26:15,17.3
2023-12-12 18:26:16,
2023-12-12 18:26:17,13.0
2023-12-12 18:26:18,
2023-12-12 18:26:19,13.7
2023-12-12 18:26:20,
2023-12-12 18:26:21,12.4
2023-12-12 18:26:22,
2023-12-12 18:26:23,14.6
2023-12-12 18:26:24,
2023-12-12 18:26:25,13.1
2023-12-12 18:26:26,
2023-12-12 18:26:27,15.6
2023-12-12 18:26:28,
2023-12-12 18:26:29,20.0
2023-12-12 18:26:30,
2023-12-12 18:26:31,13.0
2023-12-12 18:26:32,
2023-12-12 18:26:33,8.88
2023-12-12 18:26:34,
2023-12-12 18:26:35,9.40
2023-12-12 18:26:36,
2023-12-12 18:26:37,9.79
2023-12-12 18:26:38,
2023-12-12 18:26:39,9.49
2023-12-12 18:26:40,
2023-12-12 18:26:41,9.75
2023-12-12 18:26:42,
2023-12-12 18:26:43,16.2
2023-12-12 18:26:44,
2023-12-12 18:26:45,13.1
2023-12-12 18:26:46,
2023-12-12 18:26:47,11.9
2023-12-12 18:26:48,
2023-12-12 18:26:49,18.7
2023-12-12 18:26:50,
2023-12-12 18:26:51,8.95
2023-12-12 18:26:52,
2023-12-12 18:26:53,12.9
2023-12-12 18:26:54,
2023-12-12 18:26:55,9.22
2023-12-12 18:26:56,
2023-12-12 18:26:57,10.7
2023-12-12 18:26:58,
2023-12-12 18:26:59,9.62
2023-12-12 18:27:00,
2023-12-12 18:27:01,9.83
2023-12-12 18:27:02,
2023-12-12 18:27:03,13.2
2023-12-12 18:27:04,
2023-12-12 18:27:05,13.9
2023-12-12 18:27:06,
2023-12-12 18:27:07,11.0
2023-12-12 18:27:08,
2023-12-12 18:27:09,16.4
2023-12-12 18:27:10,
2023-12-12 18:27:11,12.5
2023-12-12 18:27:12,
2023-12-12 18:27:13,21.8
2023-12-12 18:27:14,
2023-12-12 18:27:15,8.70
2023-12-12 18:27:16,
2023-12-12 18:27:17,8.45
2023-12-12 18:27:18,
2023-12-12 18:27:19,8.37
2023-12-12 18:27:20,
2023-12-12 18:27:21,12.3
2023-12-12 18:27:22,
2023-12-12 18:27:23,10.4
2023-12-12 18:27:24,
2023-12-12 18:27:25,13.3
2023-12-12 18:27:26,
2023-12-12 18:27:27,20.4
2023-12-12 18:27:28,
2023-12-12 18:27:29,8.87
2023-12-12 18:27:30,
2023-12-12 18:27:31,8.43
2023-12-12 18:27:32,
2023-12-12 18:27:33,8.56
2023-12-12 18:27:34,
2023-12-12 18:27:35,8.38
2023-12-12 18:27:36,
2023-12-12 18:27:37,10.2
2023-12-12 18:27:38,
2023-12-12 18:27:39,9.36
2023-12-12 18:27:40,
2023-12-12 18:27:41,8.74
2023-12-12 18:27:42,
2023-12-12 18:27:43,7.64
2023-12-12 18:27:44,
2023-12-12 18:27:45,7.44
2023-12-12 18:27:46,
2023-12-12 18:27:47,7.60
2023-12-12 18:27:48,
2023-12-12 18:27:49,7.81
2023-12-12 18:27:50,
2023-12-12 18:27:51,28.7
2023-12-12 18:27:52,
2023-12-12 18:27:53,28.8
2023-12-12 18:27:54,
2023-12-12 18:27:55,32.7
2023-12-12 18:27:56,
2023-12-12 18:27:57,33.5
2023-12-12 18:27:58,
2023-12-12 18:27:59,35.6
2023-12-12 18:28:00,
2023-12-12 18:28:01,26.9
2023-12-12 18:28:02,
2023-12-12 18:28:03,35.7
