"Time","Package Joules Consumed"
2023-11-21 17:52:56,
2023-11-21 17:52:58,8.28
2023-11-21 17:53:00,8.91
2023-11-21 17:53:02,8.89
2023-11-21 17:53:04,8.92
2023-11-21 17:53:06,9.22
2023-11-21 17:53:08,9.07
2023-11-21 17:53:10,9.07
2023-11-21 17:53:12,9.37
2023-11-21 17:53:14,9.26
2023-11-21 17:53:16,9.62
2023-11-21 17:53:18,8.38
2023-11-21 17:53:20,7.64
2023-11-21 17:53:22,6.82
2023-11-21 17:53:24,7.18
2023-11-21 17:53:26,7.01
2023-11-21 17:53:28,7.73
2023-11-21 17:53:30,7.09
2023-11-21 17:53:32,7.04
2023-11-21 17:53:34,7.50
2023-11-21 17:53:36,8.13
2023-11-21 17:53:38,7.49
2023-11-21 17:53:40,7.92
2023-11-21 17:53:42,7.58
2023-11-21 17:53:44,7.70
2023-11-21 17:53:46,7.69
2023-11-21 17:53:48,7.74
2023-11-21 17:53:50,8.44
2023-11-21 17:53:52,7.46
2023-11-21 17:53:54,7.21
2023-11-21 17:53:56,7.04
2023-11-21 17:53:58,6.49
2023-11-21 17:54:00,7.04
2023-11-21 17:54:02,7.18
2023-11-21 17:54:04,6.78
2023-11-21 17:54:06,7.10
2023-11-21 17:54:08,7.13
2023-11-21 17:54:10,7.24
2023-11-21 17:54:12,7.63
2023-11-21 17:54:14,8.39
2023-11-21 17:54:16,7.68
2023-11-21 17:54:18,8.24
2023-11-21 17:54:20,7.89
2023-11-21 17:54:22,7.85
2023-11-21 17:54:24,8.20
2023-11-21 17:54:26,7.92
2023-11-21 17:54:28,14.9
2023-11-21 17:54:30,34.0
2023-11-21 17:54:32,31.5
2023-11-21 17:54:34,34.0
2023-11-21 17:54:36,33.7
2023-11-21 17:54:38,11.1
2023-11-21 17:54:40,8.95
2023-11-21 17:54:42,8.77
2023-11-21 17:54:44,8.71
2023-11-21 17:54:46,9.10
2023-11-21 17:54:48,9.12
2023-11-21 17:54:50,9.06
2023-11-21 17:54:52,9.65
2023-11-21 17:54:54,9.41
2023-11-21 17:54:56,9.23
2023-11-21 17:54:58,9.13
2023-11-21 17:55:00,9.25
2023-11-21 17:55:02,9.50
2023-11-21 17:55:04,8.46
2023-11-21 17:55:06,7.76
2023-11-21 17:55:08,8.12
2023-11-21 17:55:10,8.28
2023-11-21 17:55:12,8.30
2023-11-21 17:55:14,8.57
2023-11-21 17:55:16,7.98
2023-11-21 17:55:18,8.14
2023-11-21 17:55:20,8.31
2023-11-21 17:55:22,8.42
2023-11-21 17:55:24,8.75
2023-11-21 17:55:26,8.98
2023-11-21 17:55:28,9.25
2023-11-21 17:55:30,9.43
2023-11-21 17:55:32,9.47
2023-11-21 17:55:34,9.45
2023-11-21 17:55:36,9.22
2023-11-21 17:55:38,7.76
2023-11-21 17:55:40,7.01
2023-11-21 17:55:42,6.52
2023-11-21 17:55:44,7.40
2023-11-21 17:55:46,6.83
2023-11-21 17:55:48,6.86
2023-11-21 17:55:50,6.97
2023-11-21 17:55:52,6.93
2023-11-21 17:55:54,6.91
2023-11-21 17:55:56,7.08
2023-11-21 17:55:58,7.55
2023-11-21 17:56:00,7.72
2023-11-21 17:56:02,8.29
2023-11-21 17:56:04,8.48
2023-11-21 17:56:06,7.84
2023-11-21 17:56:08,7.93
2023-11-21 17:56:10,7.72
2023-11-21 17:56:12,7.15
2023-11-21 17:56:14,6.50
2023-11-21 17:56:16,6.26
2023-11-21 17:56:18,6.39
2023-11-21 17:56:20,7.13
2023-11-21 17:56:22,6.67
2023-11-21 17:56:24,6.75
2023-11-21 17:56:26,7.36
2023-11-21 17:56:28,7.03
2023-11-21 17:56:30,7.13
2023-11-21 17:56:32,7.57
2023-11-21 17:56:34,7.68
2023-11-21 17:56:36,7.75
2023-11-21 17:56:38,7.87
2023-11-21 17:56:40,7.98
2023-11-21 17:56:42,7.67
2023-11-21 17:56:44,7.98
2023-11-21 17:56:46,7.47
2023-11-21 17:56:48,7.55
2023-11-21 17:56:50,8.07
2023-11-21 17:56:52,8.20
2023-11-21 17:56:54,8.63
2023-11-21 17:56:56,8.31
2023-11-21 17:56:58,8.46
2023-11-21 17:57:00,8.92
2023-11-21 17:57:02,8.69
2023-11-21 17:57:04,8.78
2023-11-21 17:57:06,8.75
2023-11-21 17:57:08,9.15
2023-11-21 17:57:10,9.56
2023-11-21 17:57:12,9.22
2023-11-21 17:57:14,9.29
2023-11-21 17:57:16,9.79
2023-11-21 17:57:18,9.77
2023-11-21 17:57:20,9.40
2023-11-21 17:57:22,9.24
2023-11-21 17:57:24,7.99
2023-11-21 17:57:26,7.91
2023-11-21 17:57:28,8.67
2023-11-21 17:57:30,8.64
2023-11-21 17:57:32,8.33
2023-11-21 17:57:34,8.44
2023-11-21 17:57:36,8.49
2023-11-21 17:57:38,8.94
2023-11-21 17:57:40,8.66
2023-11-21 17:57:42,8.84
2023-11-21 17:57:44,9.28
2023-11-21 17:57:46,9.17
2023-11-21 17:57:48,9.40
2023-11-21 17:57:50,9.88
2023-11-21 17:57:52,9.31
2023-11-21 17:57:54,
2023-11-21 17:57:56,
