"Time","Package Joules Consumed"
2023-12-12 18:29:58,
2023-12-12 18:30:00,7.49
2023-12-12 18:30:02,7.50
2023-12-12 18:30:04,8.03
2023-12-12 18:30:06,7.80
2023-12-12 18:30:08,8.00
2023-12-12 18:30:10,9.59
2023-12-12 18:30:12,8.13
2023-12-12 18:30:14,8.60
2023-12-12 18:30:16,8.16
2023-12-12 18:30:18,8.82
2023-12-12 18:30:20,8.91
2023-12-12 18:30:22,8.68
2023-12-12 18:30:24,9.01
2023-12-12 18:30:26,8.42
2023-12-12 18:30:28,8.63
2023-12-12 18:30:30,9.00
2023-12-12 18:30:32,8.94
2023-12-12 18:30:34,8.56
2023-12-12 18:30:36,10.1
2023-12-12 18:30:38,8.94
2023-12-12 18:30:40,10.2
2023-12-12 18:30:42,9.52
2023-12-12 18:30:44,9.66
2023-12-12 18:30:46,9.64
2023-12-12 18:30:48,9.99
2023-12-12 18:30:50,10.2
2023-12-12 18:30:52,11.5
2023-12-12 18:30:54,9.38
2023-12-12 18:30:56,10.1
2023-12-12 18:30:58,9.96
2023-12-12 18:31:00,10.4
2023-12-12 18:31:02,10.1
2023-12-12 18:31:04,10.3
2023-12-12 18:31:06,10.3
2023-12-12 18:31:08,10.3
2023-12-12 18:31:10,9.94
2023-12-12 18:31:12,9.32
2023-12-12 18:31:14,8.81
2023-12-12 18:31:16,9.02
2023-12-12 18:31:18,9.28
2023-12-12 18:31:20,9.16
2023-12-12 18:31:22,9.36
2023-12-12 18:31:24,9.35
2023-12-12 18:31:26,9.84
2023-12-12 18:31:28,11.3
2023-12-12 18:31:30,9.92
2023-12-12 18:31:32,9.62
2023-12-12 18:31:34,9.95
2023-12-12 18:31:36,9.76
2023-12-12 18:31:38,19.0
2023-12-12 18:31:40,34.1
2023-12-12 18:31:42,28.2
2023-12-12 18:31:44,34.5
2023-12-12 18:31:46,34.3
2023-12-12 18:31:48,34.5
2023-12-12 18:31:50,34.6
2023-12-12 18:31:52,28.3
2023-12-12 18:31:54,34.7
2023-12-12 18:31:56,34.2
2023-12-12 18:31:58,28.2
2023-12-12 18:32:00,28.3
2023-12-12 18:32:02,28.3
2023-12-12 18:32:04,28.4
2023-12-12 18:32:06,21.5
2023-12-12 18:32:08,8.03
2023-12-12 18:32:10,8.39
2023-12-12 18:32:12,8.07
2023-12-12 18:32:14,8.11
2023-12-12 18:32:16,8.26
2023-12-12 18:32:18,7.90
2023-12-12 18:32:20,
2023-12-12 18:32:22,7.40
2023-12-12 18:32:24,7.42
2023-12-12 18:32:26,7.31
2023-12-12 18:32:28,7.31
2023-12-12 18:32:30,7.64
2023-12-12 18:32:32,7.48
2023-12-12 18:32:34,7.66
2023-12-12 18:32:36,7.75
2023-12-12 18:32:38,8.05
2023-12-12 18:32:40,8.07
2023-12-12 18:32:42,8.77
2023-12-12 18:32:44,9.22
2023-12-12 18:32:46,8.50
2023-12-12 18:32:48,7.99
2023-12-12 18:32:50,8.47
2023-12-12 18:32:52,8.46
2023-12-12 18:32:54,7.73
2023-12-12 18:32:56,7.26
2023-12-12 18:32:58,8.30
2023-12-12 18:33:00,8.67
2023-12-12 18:33:02,8.66
2023-12-12 18:33:04,9.00
2023-12-12 18:33:06,9.47
2023-12-12 18:33:08,9.33
2023-12-12 18:33:10,8.79
2023-12-12 18:33:12,9.18
2023-12-12 18:33:14,9.21
2023-12-12 18:33:16,8.99
2023-12-12 18:33:18,10.3
2023-12-12 18:33:20,9.32
2023-12-12 18:33:22,9.81
2023-12-12 18:33:24,10.2
2023-12-12 18:33:26,9.76
2023-12-12 18:33:28,9.43
2023-12-12 18:33:30,9.15
2023-12-12 18:33:32,8.33
2023-12-12 18:33:34,8.47
2023-12-12 18:33:36,8.72
2023-12-12 18:33:38,8.72
2023-12-12 18:33:40,9.04
2023-12-12 18:33:42,8.99
2023-12-12 18:33:44,9.00
2023-12-12 18:33:46,8.78
2023-12-12 18:33:48,9.05
2023-12-12 18:33:50,9.02
2023-12-12 18:33:52,9.15
2023-12-12 18:33:54,9.56
2023-12-12 18:33:56,9.65
2023-12-12 18:33:58,9.53
2023-12-12 18:34:00,9.58
2023-12-12 18:34:02,9.70
2023-12-12 18:34:04,8.65
2023-12-12 18:34:06,7.47
2023-12-12 18:34:08,7.06
2023-12-12 18:34:10,7.54
2023-12-12 18:34:12,7.66
2023-12-12 18:34:14,8.14
2023-12-12 18:34:16,8.16
2023-12-12 18:34:18,8.22
2023-12-12 18:34:20,8.37
2023-12-12 18:34:22,8.64
2023-12-12 18:34:24,8.70
2023-12-12 18:34:26,8.46
2023-12-12 18:34:28,8.58
2023-12-12 18:34:30,8.93
2023-12-12 18:34:32,8.35
2023-12-12 18:34:34,8.38
2023-12-12 18:34:36,8.39
2023-12-12 18:34:38,7.81
2023-12-12 18:34:40,7.60
2023-12-12 18:34:42,7.50
2023-12-12 18:34:44,7.25
2023-12-12 18:34:46,7.86
2023-12-12 18:34:48,7.94
2023-12-12 18:34:50,8.15
2023-12-12 18:34:52,8.53
2023-12-12 18:34:54,8.59
2023-12-12 18:34:56,8.32
2023-12-12 18:34:58,8.46
2023-12-12 18:35:00,9.18
2023-12-12 18:35:02,8.65
2023-12-12 18:35:04,8.77
2023-12-12 18:35:06,8.68
2023-12-12 18:35:08,8.69
2023-12-12 18:35:10,8.62
2023-12-12 18:35:12,8.56
2023-12-12 18:35:14,8.41
2023-12-12 18:35:16,7.34
2023-12-12 18:35:18,8.55
2023-12-12 18:35:20,8.36
2023-12-12 18:35:22,8.94
2023-12-12 18:35:24,9.01
2023-12-12 18:35:26,9.43
2023-12-12 18:35:28,9.39
2023-12-12 18:35:30,9.25
2023-12-12 18:35:32,9.49
2023-12-12 18:35:34,9.54
2023-12-12 18:35:36,9.74
2023-12-12 18:35:38,9.83
2023-12-12 18:35:40,9.75
2023-12-12 18:35:42,9.81
2023-12-12 18:35:44,10.3
2023-12-12 18:35:46,10.7
2023-12-12 18:35:48,
2023-12-12 18:35:50,9.07
2023-12-12 18:35:52,8.31
2023-12-12 18:35:54,8.97
2023-12-12 18:35:56,8.52
2023-12-12 18:35:58,9.51
2023-12-12 18:36:00,9
2023-12-12 18:36:02,8.88
2023-12-12 18:36:04,9.49
2023-12-12 18:36:06,9.06
2023-12-12 18:36:08,9.03
2023-12-12 18:36:10,9.35
2023-12-12 18:36:12,9.23
2023-12-12 18:36:14,9.29
2023-12-12 18:36:16,9.49
2023-12-12 18:36:18,9.39
2023-12-12 18:36:20,9.57
2023-12-12 18:36:22,8.79
2023-12-12 18:36:24,8.60
2023-12-12 18:36:26,7.71
2023-12-12 18:36:28,7.28
2023-12-12 18:36:30,8.32
2023-12-12 18:36:32,8.20
2023-12-12 18:36:34,8.23
2023-12-12 18:36:36,8.43
2023-12-12 18:36:38,8.16
2023-12-12 18:36:40,8
2023-12-12 18:36:42,8.54
2023-12-12 18:36:44,8.54
2023-12-12 18:36:46,8.23
2023-12-12 18:36:48,8.41
2023-12-12 18:36:50,8.65
2023-12-12 18:36:52,8.80
2023-12-12 18:36:54,8.52
2023-12-12 18:36:56,8.46
